5142;860000006;2019-12-31;2019;MILES;733842985;592337000;141505985;74061787;39868093;27576105;14278754;0;2412153;0;41816350;8933561;32882789;
5143;860000006;2019-12-31;2018;MILES;671478650;541348089;130130561;68529876;32812884;28787801;17519943;0;1799946;0;43281842;10353701;32928141;
5144;900612501;2019-12-31;2019;MILES;515342614;423493107;91849507;18218002;0;73631505;7708070;320871;1143298;3808567;70618453;22763673;47854780;
5145;900612501;2019-12-31;2018;MILES;510379681;408285089;102094592;18435304;0;83659288;8067355;1154537;3567844;3832297;81736734;31456311;50280423;
5146;830113608;2019-12-31;2019;MILES;10330061;17609225;-7279164;23243290;0;-30522454;5457105;4085855;1432653;1949244;-65374937;4718133;-70093070;
5147;830113608;2019-12-31;2018;MILES;5598287;1782828;3815459;27573550;0;-23758091;1862763;5040185;2656350;4445235;-6546440;5499885;-12046325;
5148;800148160;2019-12-31;2019;MILES;0;0;0;1795774;0;-1795774;31672699;6;0;1;776533315;0;776533315;
5149;800148160;2019-12-31;2018;MILES;226467;0;226467;2076642;0;-1850175;4240944;5309937;228999;2;642926157;327;642925830;
5150;900104079;2019-12-31;2019;MILES;91152387;0;91152387;2303466;0;88848921;0;282002;5173274;0;696743706;1623903;695119803;
5151;900104079;2019-12-31;2018;MILES;72921910;0;72921910;2480638;0;70441272;333235;1436984;5472152;0;579160899;6592703;572568196;
5152;900104081;2019-12-31;2019;MILES;69012152;0;69012152;1177661;0;67834491;0;62013;4619377;1;441467598;1112756;440354842;
5153;900104081;2019-12-31;2018;MILES;54583137;0;54583137;1227667;0;53355470;154546;1067759;3850884;0;367868867;3988337;363880530;
5154;901142543;2019-12-31;2019;MILES;0;0;0;165194;0;-165194;0;2544;644180;1;23387669;598139;22789530;
5155;901142543;2019-12-31;2018;MILES;0;0;0;206285;0;-206285;0;55469;415268;2;12682812;-3610142;16292954;
5156;800001204;2019-12-31;2019;MILES;1297051;324298;972753;572866;0;399887;1367686;126144;0;36000;-1057943;87100;-1145043;
5157;800001204;2019-12-31;2018;MILES;1424944;390852;1034092;743756;0;290336;1923589;1459288;0;1402587;-1689954;24055;-1714009;
5158;890300005;2019-12-31;2019;MILES;108476599;38371205;70105394;34946403;971895;34187096;36184234;1505263;2117805;1774236;5061655;272130;4789525;
5159;890300005;2019-12-31;2018;MILES;118533340;38938633;79594707;31580598;1013285;47000824;31061319;10236244;3449131;2039754;17932436;8605354;9327082;
5160;900191693;2019-12-31;2019;MILES;9413301;0;9413301;162064;4531255;4719982;3914167;13;20689;1364;827855;0;-5804958;
5161;900191693;2019-12-31;2018;MILES;8586504;0;8586504;175115;4458321;3953068;4447691;13702;2188;9;-506128;0;1884508;
